,isbn,book_title,book_author,year_of_publication,book_id
26977,0330267388,"Life,the Universe and Everything",Douglas Adams,,6761
26992,0671684027,Metamorphosis (Star Trek: The Next Generation),Jean Lorrah,1990.0,7086
26997,0812516214,Dreams Underfoot,Charles De Lint,1995.0,7089
27001,0140140352,Haroun and the Sea of Stories,Salman Rushdie,1991.0,1725
27005,1853260045,Great Expectations (Wordsworth Classics),Charles Dickens,1997.0,6424
796542,0931580587,Ain't Nobody's Business If You Do : The Absurdity of Consensual Crimes in Our Free Country,Peter McWilliams,1996.0,7114
1011585,0066620732,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,2002.0,7118
27041,1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001.0,21
27047,8433925180,El Antropologo Inocente,Nigel Barley,1998.0,7121
27053,8483101610,"Soldados De Salamina (Coleccion Andanzas, 433)",Javier Cercas,2001.0,7128
28954,0440224705,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000.0,7131
104379,045120994X,Fear of Flying,Erica Jong,2003.0,7133
373472,0553205803,Even Cowgirls Get the Blues,Thomas Robbins,1981.0,7136
27081,0345344464,Milagro Beanfield War,John Treadwell Nichols,1990.0,7144
27089,0786888083,Confessions of a Dangerous Mind : An Unauthorized Autobiography,Chuck Barris,2002.0,7143
861528,0684163268,Old Man and the Sea,Ernest Hemingway,1979.0,7147
42901,0316781142,The Last Time They Met : A Novel,Anita Shreve,2001.0,7153
42997,0446612626,Reversible Errors,Scott Turow,2003.0,7151
127781,0060008024,Angels,Marian Keyes,2002.0,7159
27114,0060193395,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,1999.0,7189
27151,0425144372,Clear and Present Danger,Tom Clancy,1994.0,13288
27157,0446363669,The Doomsday Conspiracy,Sidney Sheldon,1992.0,7190
27163,0684853523,On Writing,Stephen King,2000.0,7188
47575,0345339495,Nerilka's Story (Dragonriders of Pern (Paperback)),Anne McCaffrey,1995.0,7197
39074,0671525433,Dark Angel,V.C. Andrews,1986.0,7198
1036158,1853260274,Gulliver's Travels (Wordsworth Classics),Jonathan Swift,1997.0,7207
42105,0425098451,N or M?,Agatha Christie,1996.0,7225
54173,0786885912,The Lobster Chronicles : Life On a Very Small Island,Linda Greenlaw,2003.0,7232
51052,0515118249,The Cat Who Blew the Whistle,Lilian Jackson Braun,1996.0,2760
151967,0061000299,Listening Woman (Joe Leaphorn Novels),Tony Hillerman,1990.0,7234
47266,0316812471,Revolution from Within : A Book of Self-Esteem,Gloria Steinem,1993.0,4933
51592,0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989.0,6227
27239,038081093X,Excavation,James Rollins,2000.0,7253
27241,0452283086,The Cross-Country Quilters,Jennifer Chiaverini,2002.0,7248
27244,0670894699,The Florabama Ladies Auxiliary and Sewing Circle,Lois Battle,2001.0,7247
27255,0316171638,Tangled Vines,Janet Dailey,1993.0,7260
27259,0440216842,The Carousel,Belva Plain,1998.0,1077
27261,0446605581,Fat Tuesday,Sandra Brown,1998.0,6987
27271,0330346261,Acqua Alta,Donna Leon,,7270
27272,3257211945,Das Hotel New Hampshire,John Irving,1998.0,7266
27273,3257231008,Vendetta. Commissario Brunettis vierter Fall.,Donna Leon,1998.0,7269
27301,0385334206,Breakfast of Champions,Kurt Vonnegut,1999.0,7286
27302,0425099334,Shattered,Dean R. Koontz,1993.0,7306
27304,0449006883,Magic Terror: Seven Tales,Peter Straub,2001.0,7297
27305,0449220605,"He, She and It",Marge Piercy,1993.0,7289
27318,0553106651,Seize the Night,DEAN KOONTZ,1998.0,7299
27319,0553379267,A Canticle for Leibowitz (Bantam Spectra Book),Walter M. Miller Jr.,1997.0,7290
27320,0553560719,"Dark Force Rising (Star Wars: The Thrawn Trilogy, Vol. 2)",Timothy Zahn,1998.0,7282
27321,0553560735,Red Mars (Mars Trilogy),Kim Stanley Robinson,1993.0,7293
27323,0671024345,"Out of the Madhouse  (Buffy the Vampire Slayer: The Gatekeeper Trilogy, Book 1)",Christopher Golden,1999.0,7295
27324,0671025538,The TITANIC DISASTER HEARINGS,Tom Kuntz,1998.0,7300
27334,1853260150,Picture of Dorian Gray (Wordsworth Classics),Oscar Wilde,1997.0,6820
27336,1853260614,Dr. Jekyll &amp Mr. Hyde (Wordsworth Classics),Robert Louis Stevenson,1997.0,7292
27369,0670865796,The Deep End of the Ocean (Oprah's Book Club (Hardcover)),Jacquelyn Mitchard,1996.0,7338
27375,0684853507,BAG OF BONES : A NOVEL,Stephen King,1998.0,7325
27377,0761516735,You Can Save the Animals: 251 Ways to Stop Thoughtless Cruelty,Ingrid Newkirk,1999.0,7327
27402,0060745908,Wicked Musical Tie-in Edition : The Life and Times of the Wicked Witch of the West,Gregory Maguire,2004.0,7364
27416,0061099015,The Great and Secret Show,Clive Barker,1990.0,19286
27417,0061099643,Imajica,Clive Barker,1992.0,16395
27442,0140265686,Out to Canaan (The Mitford Years),Jan Karon,1998.0,2099
27449,0141002166,Blue Ridge,T. R. Pearson,2001.0,19268
27451,0142000361,The Florabama Ladies' Auxiliary &amp Sewing Circle,Lois Battle,2002.0,1706
27462,0312042779,Catering to Nobody,Diane Mott Davidson,1990.0,19352
27478,0312306326,Visions of Sugar Plums,Janet Evanovich,2002.0,9981
27479,0312313810,The Dirty Girls Social Club: A Novel,Alisa Valdes-Rodriguez,2003.0,19245
27483,0312951469,Practical Demonkeeping: A Comedy of Horrors,Christopher Moore,1995.0,19376
27504,0312978863,Murder With Puffins : A Meg Langslow Mystery (A Meg Lanslow Mystery),Donna Andrews,2001.0,19291
27507,0316107093,Toons for Our Times: A Bloom County Book of Heavy Metal Rump 'N Roll,Berke Breathed,1984.0,19281
27521,0345297709,Centaur Aisle,Piers Anthony,1982.0,451
27522,0345326490,Desert Solitaire,Edward Abbey,1990.0,19303
27526,0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001.0,1564
27529,0345443128,A False Sense of Well Being (Ballantine Reader's Circle),Jeanne Braselton,2002.0,19230
27530,0345445848,Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),Adriana Trigiani,2002.0,12220
27537,0375411070,Basket Case,CARL HIAASEN,2002.0,12846
27540,0375422412,Three Junes,Julia Glass,2002.0,7465
27541,0375502971,"A Dog Year: Twelve Months, Four Dogs, and Me",Jon Katz,2002.0,19252
27550,0375709118,In the Pond,Ha Jin,2000.0,19402
27558,0380780860,Murder on a Girls' Night Out: A Southern Sisters Mystery,Anne George,1996.0,19332
27560,0380784491,Murder Runs in the Family: A Southern Sisters Mystery,Anne George,1997.0,19210
27561,0380792745,The Lust Lizard of Melancholy Cove,Christopher Moore,2000.0,7367
27565,0380842939,Sacajawea (Lewis &amp Clark Expedition),Anna L. Waldo,1984.0,19284
27569,0380978415,"Fluke : Or, I Know Why the Winged Whale Sings",Christopher Moore,2003.0,19296
27574,0385488181,Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,1997.0,12140
27596,0399149422,The Cat Who Brought Down the House,Lilian Jackson Braun,2003.0,5552
27599,0399152288,R is for Ricochet,Sue Grafton,2004.0,78284
27605,0425192725,Q Is for Quarry,Sue Grafton,2003.0,7365
27608,0440212561,Outlander,DIANA GABALDON,1992.0,8947
27616,0446606928,Blue Light,Walter Mosley,1999.0,13491
27622,0449911594,Dinner at the Homesick Restaurant : A Novel,ANNE TYLER,1996.0,12166
27624,0451179285,The Stand: The Complete &amp Uncut Edition,Stephen King,1994.0,19304
27629,0451197399,The Ballad of Frankie Silver,Sharyn McCrumb,1999.0,19287
27632,0451206002,Over the Edge: An Alex Delaware Novel (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2002.0,19373
27633,0451207246,How to Murder a Millionaire,Nancy Martin,2002.0,17077
27635,0451209028,Coffee &amp Kung Fu,Karen Brichoux,2003.0,17118
27637,0451452739,2001 A Space Odyssey,Arthur C. Clarke,1993.0,20954
27654,0553251481,Jitterbug Perfume,Tom Robbins,1985.0,19302
27660,055356773X,The Cereal Murders,Diane Mott Davidson,1994.0,19297
27661,0553569619,When the Bough Breaks (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1994.0,7931
27666,0553575279,Fever Season (Benjamin January (Paperback)),BARBARA HAMBLY,1999.0,19386
27671,0553580078,The Years of Rice and Salt,Kim Stanley Robinson,2003.0,1526
27675,0553801945,"The Game (King, Laurie R)",LAURIE R. KING,2004.0,7359
27677,0609608339,The Buffalo Soldier : A Novel by the Bestselling Author of MIDWIVES,CHRIS BOHJALIAN,2002.0,10578
27679,060980619X,God Save the Sweet Potato Queens,JILL CONNER BROWNE,2001.0,4159
27683,0618219153,Hotel Honolulu: A Novel,Paul Theroux,2002.0,19254
27684,0618246940,"The Best American Nonrequired Reading 2002 (Best American Nonrequired Reading, 2002)",Dave Eggers,2002.0,19261
27686,0670031208,Shepherds Abiding,Jan Karon,2003.0,6939
27697,0671042831,Moonlight on the Avenue of Faith,Gina B. Nahai,2000.0,7375
27706,0679729771,Maus a Survivors Tale: And Here My Troubles Begin (Maus),Art Spiegelman,1992.0,19356
27713,0684844826,SALT DANCERS,Ursula Hegi,1997.0,19335
27733,0743243315,Brick Lane : A Novel,Monica Ali,2004.0,4744
27734,0743243412,Wacky Chicks : Life Lessons from Fearlessly Inappropriate and Fabulously Eccentric Women,Simon Doonan,2003.0,19339
27755,0802135161,Oranges Are Not the Only Fruit,Jeanette Winterson,1997.0,19326
27767,0836218051,The Essential Calvin and Hobbes,Bill Watterson,1988.0,15182
27796,1400031362,Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2002.0,6792
27798,140004832X,Ambulance Girl: How I Saved Myself by Becoming an EMT,JANE STERN,2003.0,19219
27806,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002.0,299
27814,1573222127,Miracle at St. Anna,James McBride,2002.0,9545
27820,1841954608,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre,2003.0,19242
27834,0060085444,She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot,2002.0,15670
27836,0060185287,Flight Lessons,Patricia Gaffney,2002.0,17411
27837,0060193751,Circle of Three,Patricia Gaffney,2000.0,19458
27848,0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000.0,12715
27856,0140286276,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999.0,579
27885,0345450698,Clay's Quilt: A Novel (Ballantine Reader's Circle),Silas House,2002.0,7383
27888,0375412530,Back When We Were Grownups: A Novel,ANNE TYLER,2001.0,7384
27898,0380796104,Lucy Sullivan Is Getting Married,Marian Keyes,2000.0,17499
27908,0385413041,Beach Music,PAT CONROY,1995.0,10939
27911,0385499825,Girl Named Zippy: Growing Up Small in Mooreland Indiana,Haven Kimmel,2001.0,19440
27918,0425155722,The Fool's Run,John Sandford,2004.0,18475
27921,0425186326,Family Album,Patricia Kay,2002.0,19451
27938,0440224594,The Return Journey,MAEVE BINCHY,1999.0,19453
27943,0446513067,The General's Daughter,Nelson DeMille,1992.0,9298
27948,0446600474,Season of the Machete,James Patterson,1995.0,15410
27953,0446610674,On Bear Mountain,Deborah Smith,2002.0,19452
27954,0446613266,Four Blind Mice,James Patterson,2003.0,5419
27958,0451188489,A Maiden's Grave,Jeff Deaver,1996.0,19436
27987,0670032379,The Secret Life of Bees,Sue Monk Kidd,2002.0,19450
27998,0671693816,Wifey,Judy Blume,1989.0,16305
28000,0671727583,Smart Women,Judy Blume,1990.0,8941
28014,0696218364,Paige by Paige: A Year of Trading Spaces,Paige Davis,2003.0,7386
28023,0767900383,Under the Tuscan Sun,Frances Mayes,1997.0,4036
28030,0804114609,Patty Jane's House of Curl,Lorna Landvik,1999.0,7398
28032,0808514121,East of Eden (Penguin Twentieth-Century Classics),John Steinbeck,1999.0,7382
28033,0812967240,It's My F---ing Birthday : A Novel,MERRILL MARKOE,2002.0,9319
28046,1558746226,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,12066
28059,0061059064,Jingo: A Novel of Discworld,Terry Pratchett,1999.0,40183
28064,0312980388,Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002.0,590
28065,0330331973,River God,Wilbur Smith,1994.0,7415
28071,0553212419,Sherlock Holmes : The Complete Novels and Stories (Bantam Classic) Volume I,"Arthur Conan, Sir Doyle",1986.0,7424
28072,0553212427,Sherlock Holmes: The Complete Novels and Stories (Sherlock Holmes),Arthur Conan Doyle,1986.0,7423
28074,0553288105,The Gods Themselves,Isaac Asimov,1990.0,19461
28082,0586062009,Robots and Empire,Isaac Asimov,1986.0,19463
28089,0671037285,Circle and the Cross,Caiseal Mor,,7428
28097,075284332X,Bleeding Hearts (A Jack Harvey Novel),Ian Rankin,2004.0,7411
28108,0312950489,The Black Echo (Detective Harry Bosch Mysteries),Michael Connelly,1993.0,6658
28110,031298328X,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003.0,7429
28112,0380802929,The Runaway Princess,Christina Dodd,1999.0,7435
28117,0449223043,Guardian,John Saul,1995.0,7433
28118,0451181379,The Door to December,Dean R. Koontz,1994.0,850
28119,0451205626,Cold Paradise (Stone Barrington Novels (Paperback)),Stuart Woods,2002.0,7430
28121,0553284118,Creature,John Saul,1990.0,7434
405730,0140060898,The Mosquito Coast,Paul Theroux,1996.0,7437
53107,0684826127,WATER WITCHES,Chris Bohjalian,1997.0,7439
28135,0060081961,Once Upon a Town: The Miracle of the North Platte Canteen,Bob Greene,2002.0,19650
28141,0060194995,To Kill a Mockingbird : The 40th Anniversary Edition of the Pulitzer Prize-Winning Novel,Harper Lee,1999.0,14834
28142,0060198133,Five Quarters of the Orange,Joanne Harris,2001.0,19785
28157,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998.0,133
28167,0060972122,The Mysteries of Pittsburgh,Michael Chabon,1989.0,19831
28168,0060976241,The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,1994.0,12901
28178,0062512234,Boychiks in the Hood : Travels in the Hasidic Underground,Robert Eisenberg,1996.0,19481
28193,0140119795,The Cape Ann (Contemporary American Fiction),Faith Sullivan,1989.0,19804
28205,0140248927,Aunt Julia and the Scriptwriter,Mario Vargas Llosa,1995.0,19688
28220,0141000198,Bridget Jones's Diary,Helen Fielding,2001.0,7721
28238,015640057X,"Henry and June: From \A Journal of Love\"" -The Unexpurgated Diary of Anais Nin (1931-1932)""",Anais Nin,1990.0,19508
28254,0312198647,Elegy for Iris,John Bayley,1999.0,19704
28256,0312252803,The Country Life,Rachel Cusk,2000.0,19844
28272,0312971362,Sis Boom Bah,Jane Heller,2000.0,1919
28279,0312986343,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,2004.0,8842
28280,0312989393,Queen Bee of Mimosa Branch,Haywood Smith,2003.0,10588
28309,034536676X,The World According to Garp,John Irving,1994.0,19815
28342,0374121230,Child of My Heart,Alice McDermott,2002.0,13452
28350,0375421815,The Crazed: A Novel,HA JIN,2002.0,8226
28355,0375501959,Comfort Me with Apples: More Adventures at the Table,RUTH REICHL,2001.0,19849
28364,037570485X,The Inn at Lake Devine,Elinor Lipman,1999.0,6546
28371,0375718990,The Pursuit of Love &amp Love in a Cold Climate: Two Novels,Nancy Mitford,2001.0,13501
28391,0380730200,The Giant's House : A Romance,Elizabeth McCracken,1997.0,19654
28418,0385334931,Sometimes I Dream in Italian,Rita Ciresi,2000.0,19745
28421,0385413017,Fumblerules: A Lighthearted Guide to Grammar and Good Usage,William Safire,1990.0,19499
28431,038549744X,English Passengers,Matthew Kneale,2001.0,11933
28438,0385720408,Ali and Nino: A Love Story,Kurban Said,2000.0,19779
28459,0399151648,Kate Remembered,A. Scott Berg,2003.0,9119
28465,042513699X,Turtle Moon,Alice Hoffman,1993.0,6542
28470,0425174344,Local Girls,Alice Hoffman,2000.0,11637
28474,0425184943,Blue Diary,Alice Hoffman,2002.0,12924
28486,0440221099,Talk Before Sleep: A Novel,Elizabeth Berg,1995.0,11432
28504,0446600660,Strip Tease,Carl Hiaasen,1994.0,19550
28505,0446603422,Stormy Weather,Carl Hiaasen,1996.0,14297
28521,0449005410,Horse Heaven (Ballantine Reader's Circle),Jane Smiley,2001.0,365
28523,0449209105,The Promise,Chaim Potok,1985.0,19823
28532,0449221393,Driving Force,Dick Francis,1994.0,13526
28538,0449908747,Barn Blind,Jane Smiley,1993.0,19827
28548,0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989.0,8798
28549,0451185560,Fear of Flying,Erica Jong,1996.0,3816
28560,0452261848,Lives of Girls and Women,Alice Munro,1994.0,19834
28582,0517595753,Dave Barry in Cyberspace,Dave Barry,1996.0,19767
28599,0553289691,SKINNY LEGS AND ALL,TOM ROBBINS,1991.0,8786
28608,0553574663,The Grilling Season,Diane Mott Davidson,1998.0,7018
28638,0671242954,TIME AND AGAIN,Jack Finney,1986.0,19836
28647,0671686151,Then She Found Me,Elinor Lipman,1991.0,6547
28651,0671743058,Boy's Life,Robert McCammon,1992.0,10661
28656,0671885332,AT PARADISE GATE,Jane Smiley,1993.0,19808
28660,0679404864,Dave Barry's Guide to Guys: A Fairly Short Book,Dave Barry,1995.0,19657
28666,0679437452,Range of Motion,Elizabeth Berg,1995.0,4777
28667,0679442405,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,1999.0,18011
28684,0679734589,The Rachel Papers,MARTIN AMIS,1992.0,19774
28723,0684818442,FROM TIME TO TIME,Jack Finney,1996.0,19468
28724,0684822652,THREE TO GET DEADLY : A Stephanie Plum Novel,Janet Evanovich,1997.0,19514
28745,0688168248,The Book Borrower: A Novel,Alice Mattison,1999.0,19696
28755,0743227441,The Other Boleyn Girl,Philippa Gregory,2002.0,8407
28762,0747541604,The Gashlycrumb Tinies,Edward Gorey,1998.0,7472
28774,0767902025,Tomcat in Love,Tim O'Brien,1998.0,19776
28812,0805066128,Before I Say Goodbye: Recollections and Observations from One Woman's Final Year,Ruth Picardie,2000.0,19528
28818,0811202208,The Glass Menagerie (New Classics Series),Tennessee Williams,1970.0,19850
28820,0811801802,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp Sabine Continues,Nick Bantock,1992.0,18750
28822,0811831620,The Gryphon: In Which the Extraordinary Correspondence of Griffin &amp Sabine Is Rediscovered,Nick Bantock,2001.0,19493
28832,0836217012,Cows Of Our Planet (Far Side Series),Gary Larson,1992.0,19548
28833,0836218310,Far Side Gallery 3 Paperback,Gary Larson,1988.0,10591
28844,0871133741,A New Path to the Waterfall,Raymond Carver,1990.0,19668
28846,0877017883,Griffin &amp Sabine: An Extraordinary Correspondence,Nick Bantock,1991.0,19641
28855,0890876789,Inspiration Sandwich: Stories to Inspire Our Creative Freedom,Sark,1992.0,19478
28856,0890877033,Living Juicy: Daily Morsels for Your Creative Soul,Sark,1994.0,9405
28863,0915230151,The Mirror,Marlys Millhiser,1997.0,19828
28902,1567313736,Uppity Women of Shakespearean Times,Vicki Leon,2000.0,19625
28907,1571430148,I Should Have Stayed Home: The Worst Trips of the Great Writers (Travel Literature Series),Roger Rapoport,1994.0,19809
28911,1573223425,Blue Shoe,Anne Lamott,2003.0,19648
28919,1573229725,Fingersmith,Sarah Waters,2002.0,11649
28937,1885171080,"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry,1995.0,15025
28945,0345441265,The Ladies Auxiliary (Ballantine Reader's Circle),Tova Mirvis,2000.0,7478
28973,0140115773,What Am I Doing Here,Bruce Chatwin,1990.0,7485
28982,0804119430,Horse Heaven,JANE SMILEY,2003.0,7489
524079,0671878662,Fiddler Fair,Mercedes Lackey,1998.0,7512
163244,0070064547,Motherhood: The Second Oldest Profession,Erma Bombeck,1983.0,7513
29010,044022392X,The Keys to the Street: A Novel of Suspense,Ruth Rendell,1997.0,7516
29013,0451410025,I Am the Only Running Footman,Martha Grimes,2001.0,7520
29014,0553213806,Dubliners,James Joyce,1990.0,7519
300271,0385722109,Hotel World,ALI SMITH,2002.0,7524
29032,0345369947,The Mummy or Ramses the Damned,Anne Rice,1991.0,609
29033,0345404319,Taltos: Lives of the Mayfair Witches,Anne Rice,1996.0,7209
29037,0394587863,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1990.0,7528
29039,0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1994.0,3353
29052,0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997.0,3283
29120,0380016974,Captive Bride,Johanna Lindsey,1999.0,7570
29121,0380802325,Suddenly You,Lisa Kleypas,2001.0,7587
29123,0380814803,The Pursuit (Avon Historical Romance),Johanna Lindsey,2003.0,7592
29127,0441009077,Never After,Rebecca Lickiss,2002.0,7576
29131,0515129224,Soft Focus,Jayne Ann Krentz,2000.0,7567
29132,0515130923,Dawn in Eclipse Bay,Jayne Ann Krentz,2001.0,7585
29133,0553563734,The King's Buccaneer,RAYMOND FEIST,1994.0,7566
29147,0886778166,"Prince of Dogs (Crown of Stars, Vol 2)",Kate Elliott,1999.0,7574
201458,0671035460,Pale Horse Coming,Stephen Hunter,2002.0,7594
29156,0373790899,"By the Book (Harlequin Blaze, No 85)",Nancy Warren,2003.0,30754
29157,0451167538,Different Seasons (Signet),Stephen King,2004.0,36754
29159,0451212169,Bright Eyes (Coulter Family Series),Catherine Anderson,2004.0,7596
29162,0553586203,The Wedding Game,JANE FEATHER,2004.0,13214
29582,0064472272,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001.0,7604
29192,0451628047,Inferno (Mentor),Dante Alighieri,1993.0,7610
29195,0679729917,The Best of Roald Dahl,Roald Dahl,1990.0,1523
99578,0670878073,Wobegon Boy,Garrison Keillor,1997.0,7612
277353,0440114330,Close encounters of the third kind,Steven Spielberg,1977.0,7613
157363,0061059323,The X-Files: Fight the Future,Elizabeth Hand,1998.0,7614
98637,0764228072,The Betrayal,Beverly Lewis,2003.0,7616
313207,0553560220,Illusion,Paula Volsky,1993.0,7623
29365,0060965819,Simpson's Christmas Book,Matt Groening,1990.0,7645
29370,0385044011,Poems That Touch the Heart,A. L. Alexander,1956.0,7646
29378,0486270734,Favorite Poems (Dover Thrift Editions),William Wordsworth,1992.0,7634
103350,051511331X,November of the Heart,LaVyrle Spencer,1995.0,7663
29416,0380723638,Ill Wind (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997.0,1454
29417,0380725827,Firestorm (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997.0,7671
29420,0425157784,Mourn Not Your Dead,Deborah Crombie,1997.0,7669
29423,055357924X,Kissed a Sad Goodbye (Duncan Kincaid/Gemma James Novels (Paperback)),Deborah Crombie,2001.0,7021
29431,0061044490,Deep Lie,Stuart Woods,1998.0,7699
29447,0440220696,Invasion of Privacy,PERRI O'SHAUGHNESSY,1997.0,7701
29449,0440224721,Obstruction of Justice,Perry O'Shaughnessy,1998.0,7697
29458,0446604844,Total Control,David Baldacci,1997.0,7698
29467,0553279378,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983.0,7051
29470,0553575104,In Pursuit of the Proper Sinner,Elizabeth George,2000.0,8650
29506,0345401964,Exit to Eden,Anne Rice,1996.0,7714
29508,0380817691,Stalker: A Peter Decker and Rina Lazarus Novel,Faye Kellerman,2001.0,7709
29513,0684859734,Grave Secrets (Temperance Brennan Novel (Hardcover)),Kathy Reichs,2002.0,7711
34523,0671038567,Body of Evidence,Patricia Cornwell,1999.0,7719
29533,0446365386,Gone with the Wind,Margaret Mitchell,1993.0,7733
49139,0399148450,Widow's Walk (Spenser Mysteries (Hardcover)),Robert Parker,2002.0,7741
344564,0451201515,Life on the Other Side: A Psychic's Tour of the Afterlife,Sylvia Browne,2001.0,7742
117430,0671727796,The Color Purple,Alice Walker,1990.0,7743
241674,0743456378,The Killing Kind,John Connolly,2003.0,7747
469790,0440229464,Crooked,TOM MCNEAL,2002.0,7753
29581,0061057649,Feet of Clay (Discworld Novels (Paperback)),Terry Pratchett,1997.0,7758
29584,0425100650,Twilight Eyes,Dean R. Koontz,1995.0,7759
298442,0440509238,Spin Cycle,SUE MARGOLIS,2001.0,7765
67315,2070725804,Comme un roman,Daniel Pennac,1992.0,7767
85342,0671047329,The Third Option,Vince Flynn,2001.0,7769
29601,0061056219,The Lions of Al-Rassan,Guy Gavriel Kay,1996.0,7771
29604,0380762595,Until Forever,Johanna Lindsey,1995.0,7782
29606,0380812975,Untie My Heart,Judith Ivory,2002.0,2721
29609,0451451155,Tigana,Guy Gavriel Kay,1994.0,7770
29613,0451453328,A Song for Arbonne,Guy Gavriel Kay,1994.0,7772
293875,074347628X,The Twilight Before Christmas,Christine Feehan,2003.0,7810
29664,0140113428,The Cat Who Came for Christmas,Cleveland Amory,1989.0,7821
65597,0590466194,"Welcome to Camp Nightmare (Goosebumps, No 9)",R. L. Stine,1995.0,7826
31620,0312924585,Silence of the Lambs,Thomas Harris,1991.0,4479
155869,038073186X,Shutter Island,Dennis Lehane,2004.0,6837
29705,0140373373,Pride and Prejudice (Puffin Classics),Jane Austen,1995.0,7846
29707,0451628039,Mythology,Edith Hamilton,1991.0,7838
29711,0760700435,Sense and sensibility,Jane Austen,1996.0,7841
50246,0446611662,Bird's-Eye View,J. F. Freedman,2002.0,7863
33309,0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999.0,20
82772,039915079X,The Teeth of the Tiger,Tom Clancy,2003.0,7402
122147,0140051317,Tales of the Unexpected,Roald Dahl,,3514
900078,081120457X,Captain's Verses (New Directions Paperbook),Pablo Neruda,1972.0,7869
347635,0553212923,Hamlet (Bantam Classics),William Shakespeare,1988.0,7873
47599,0345354613,Eaters of the Dead,MICHAEL CRICHTON,1988.0,7874
116589,0967231434,Small leather journal with strap-myra series,Anatolian Treasures,1999.0,7875
29783,0140430725,"Pride and Prejudice (The Penguin English Library, El 72)",Jane Austen,1985.0,7879
29785,0380713802,Neither Here nor There: Travels in Europe,Bill Bryson,1999.0,7878
175088,0843948302,Voice of the Blood,Jemiah Jefferson,2001.0,7890
261596,0375505148,Girls' Poker Night,Jill A. Davis,2002.0,7892
92096,0671731424,Wolf's Hour,Robert McCammon,1990.0,7895
240780,034068948X,Does My Bum Look Big in This?,Arabella Weir,1999.0,7896
34849,0061099570,The Crown of Columbus,Louise Erdrich,1992.0,7901
98941,0385333919,Be Cool,Elmore Leonard,1999.0,7899
50330,0449001245,Naked Came the Manatee,Carl Hiaasen,1998.0,7900
229012,0679801111,In the Hand of the Goddess (Song of the Lioness (Paperback)),Tamora Pierce,1997.0,7911
152671,0679889175,First Test (Protector of the Small),Tamora Pierce,2000.0,7910
59894,0871236575,"When Hope Springs New (Canadian West, Book 4)",Janette Oke,1986.0,7912
55387,1410729435,Lucy's Treasure,G. E. Dabbs,2003.0,7913
60658,0373250134,Slightly Single (Red Dress Ink (Paperback)),Wendy Markham,2002.0,7923
297082,0373153260,The Wedding is White (Silhouette Desire),Diana Palmer,2000.0,7926
49317,0425147584,Debt of Honor (Jack Ryan Novels),Tom Clancy,1997.0,7169
434922,068480154X,TENDER IS THE NIGHT,F. Scott Fitzgerald,1995.0,7929
29877,0590313185,Bunnicula: A Rabbit-Tale of Mystery,Deborah and James Howe,1997.0,7938
48170,0375406182,Plainsong,Kent Haruf,1999.0,5864
29910,059043411X,Vampires Don't Wear Polka Dots (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,1997.0,7957
29930,014045022X,Pygmalion : A Romance in Five Acts,George Bernard Shaw,1993.0,7970
